               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.032591,            0.035432,           0.0091646,             0.52455,             0.46714,             0.45615,              0.1597,            0.061356,            0.038103,            0.014973,            0.004654,            0.004654,            0.004654
                  56,            0.031571,            0.032881,           0.0094131,             0.66896,             0.50539,             0.55816,             0.17688,            0.060684,            0.038172,            0.015863,            0.004555,            0.004555,            0.004555
                  57,            0.031982,            0.032518,           0.0088232,             0.62111,             0.49844,             0.50811,             0.18234,            0.062381,            0.037913,            0.015565,            0.004456,            0.004456,            0.004456
                  58,            0.031937,            0.031312,           0.0088768,             0.73785,             0.43839,             0.54241,             0.19801,            0.059194,            0.036132,            0.013053,            0.004357,            0.004357,            0.004357
                  59,            0.030392,            0.033136,           0.0089731,             0.72611,             0.47998,             0.55292,             0.20995,            0.059611,            0.037209,            0.014748,            0.004258,            0.004258,            0.004258
                  60,            0.031781,            0.033138,           0.0083139,             0.68493,             0.44732,             0.50601,             0.18884,            0.061356,            0.037176,            0.014442,            0.004159,            0.004159,            0.004159
                  61,            0.031656,             0.03209,           0.0093566,             0.75395,             0.50575,             0.56617,             0.20297,            0.059616,            0.037489,            0.014837,             0.00406,             0.00406,             0.00406
                  62,            0.031092,            0.032494,           0.0092057,             0.74935,             0.45863,              0.5035,             0.17871,            0.061073,            0.039089,            0.015023,            0.003961,            0.003961,            0.003961
                  63,            0.030563,             0.03309,           0.0087836,             0.64584,             0.48875,             0.48085,             0.17784,            0.059752,            0.040078,            0.014722,            0.003862,            0.003862,            0.003862
                  64,            0.030235,            0.030977,           0.0087415,             0.75218,             0.46667,              0.5102,             0.18838,            0.060424,            0.038169,            0.014186,            0.003763,            0.003763,            0.003763
                  65,            0.030671,            0.031277,           0.0083791,             0.71863,             0.45776,             0.50113,             0.19367,            0.059964,            0.038197,            0.014156,            0.003664,            0.003664,            0.003664
                  66,            0.029535,            0.032054,           0.0086749,             0.59962,             0.47261,             0.47485,             0.18311,            0.061863,            0.038697,            0.014248,            0.003565,            0.003565,            0.003565
                  67,            0.028642,            0.033509,           0.0082728,             0.59586,              0.4458,              0.4571,             0.17634,            0.061125,            0.037734,            0.014139,            0.003466,            0.003466,            0.003466
                  68,             0.02938,            0.030569,           0.0082399,              0.7018,             0.46557,             0.52535,             0.20052,            0.060111,            0.038377,             0.01403,            0.003367,            0.003367,            0.003367
                  69,            0.028164,            0.029313,           0.0086002,             0.65047,              0.5185,             0.54481,             0.20478,            0.061143,            0.037699,            0.014135,            0.003268,            0.003268,            0.003268
                  70,            0.029251,            0.033988,           0.0086165,              0.7358,             0.49946,             0.52138,             0.20142,            0.060132,             0.03894,            0.014438,            0.003169,            0.003169,            0.003169
                  71,             0.02777,             0.02869,           0.0082568,             0.69549,             0.46667,             0.49629,             0.20152,            0.060582,            0.038939,            0.014859,             0.00307,             0.00307,             0.00307
                  72,            0.029572,            0.032769,           0.0080285,             0.70367,             0.51686,             0.55112,             0.21222,            0.059708,             0.03903,            0.014782,            0.002971,            0.002971,            0.002971
                  73,            0.027797,            0.030008,           0.0080756,             0.69318,             0.47165,             0.50212,             0.19298,            0.060193,            0.039947,            0.016279,            0.002872,            0.002872,            0.002872
                  74,             0.02805,            0.027943,           0.0077538,             0.63606,              0.5137,             0.52998,             0.18681,            0.059719,            0.040352,            0.016145,            0.002773,            0.002773,            0.002773
                  75,            0.027044,            0.028295,           0.0085058,             0.73775,             0.46816,             0.54525,             0.17971,             0.06052,            0.040916,            0.016531,            0.002674,            0.002674,            0.002674
                  76,              0.0292,            0.030466,           0.0084116,             0.58709,             0.48851,             0.51612,             0.18759,            0.060045,            0.040894,            0.016521,            0.002575,            0.002575,            0.002575
                  77,            0.027348,            0.029406,           0.0080916,             0.71666,             0.47739,             0.52651,             0.18171,            0.059834,            0.041047,            0.016702,            0.002476,            0.002476,            0.002476
                  78,            0.027879,            0.031777,            0.008037,             0.67158,             0.47562,             0.50653,             0.18265,            0.060816,            0.039399,             0.01705,            0.002377,            0.002377,            0.002377
                  79,            0.027953,              0.0297,           0.0083989,              0.7451,             0.48888,             0.57048,             0.20181,             0.06027,            0.039821,            0.016545,            0.002278,            0.002278,            0.002278
                  80,            0.026976,            0.028799,           0.0075651,             0.73255,             0.47656,             0.53172,             0.20056,            0.060068,            0.039316,            0.015703,            0.002179,            0.002179,            0.002179
                  81,            0.027644,            0.029985,           0.0079948,             0.69362,              0.4744,             0.53184,             0.19106,            0.060174,            0.040219,             0.01556,             0.00208,             0.00208,             0.00208
                  82,            0.026529,             0.02905,           0.0078501,             0.64324,             0.48125,             0.51136,             0.18554,            0.061265,             0.04096,            0.015986,            0.001981,            0.001981,            0.001981
                  83,            0.027031,            0.030083,           0.0077978,             0.59255,             0.51893,             0.51812,             0.20197,             0.06169,            0.040322,            0.015859,            0.001882,            0.001882,            0.001882
                  84,            0.025975,            0.027289,           0.0075086,             0.63209,             0.52579,             0.52566,             0.19831,            0.060735,            0.039584,             0.01538,            0.001783,            0.001783,            0.001783
                  85,            0.026188,            0.029112,           0.0079247,             0.55448,             0.50316,             0.50575,             0.18601,            0.061313,            0.039611,             0.01531,            0.001684,            0.001684,            0.001684
                  86,            0.024996,            0.028022,           0.0076901,             0.66343,             0.44337,             0.52311,             0.18476,            0.061791,            0.039236,            0.015156,            0.001585,            0.001585,            0.001585
                  87,            0.025161,            0.027529,           0.0071691,             0.71232,             0.47546,             0.54872,             0.19017,            0.061131,            0.039229,            0.015628,            0.001486,            0.001486,            0.001486
                  88,            0.025861,            0.029024,           0.0075997,             0.61281,             0.42096,              0.4755,             0.17055,            0.061937,            0.040007,            0.016078,            0.001387,            0.001387,            0.001387
                  89,            0.026237,            0.029322,            0.007989,             0.68432,             0.41571,             0.49123,              0.1694,            0.061801,            0.040602,            0.016349,            0.001288,            0.001288,            0.001288
                  90,            0.025803,            0.030851,           0.0078884,             0.72369,              0.4296,             0.51312,             0.17494,            0.061971,            0.040938,            0.016453,            0.001189,            0.001189,            0.001189
                  91,            0.024825,            0.027195,           0.0077212,             0.73505,             0.44349,             0.54345,             0.18472,            0.061649,            0.040727,            0.016608,             0.00109,             0.00109,             0.00109
                  92,            0.024462,            0.026829,           0.0065459,             0.53348,             0.54994,             0.52459,              0.1812,             0.06128,             0.04032,             0.01623,            0.000991,            0.000991,            0.000991
                  93,            0.025443,            0.027674,           0.0070665,              0.6576,             0.48365,             0.52911,             0.18915,            0.061052,            0.040828,            0.016318,            0.000892,            0.000892,            0.000892
                  94,            0.026153,            0.029643,           0.0072616,              0.6964,             0.48409,             0.53273,             0.18852,            0.061014,            0.039663,            0.016071,            0.000793,            0.000793,            0.000793
                  95,            0.026042,            0.028002,           0.0075319,              0.5514,             0.53468,             0.53665,             0.19176,            0.060709,            0.039283,            0.015932,            0.000694,            0.000694,            0.000694
                  96,            0.023619,            0.026453,            0.006636,             0.78873,              0.4659,             0.57209,             0.18856,            0.060801,            0.039546,            0.016251,            0.000595,            0.000595,            0.000595
                  97,            0.025484,            0.028163,           0.0070803,             0.77622,             0.46015,             0.55081,             0.18687,            0.060698,             0.03997,            0.016238,            0.000496,            0.000496,            0.000496
                  98,            0.024138,            0.028197,              0.0063,             0.67951,             0.45716,             0.52496,             0.17814,            0.060873,            0.039988,            0.016305,            0.000397,            0.000397,            0.000397
                  99,            0.024418,            0.028568,           0.0067783,             0.74688,             0.43793,               0.524,             0.18001,            0.061129,            0.040018,            0.016598,            0.000298,            0.000298,            0.000298
